msisdn;churn_postpaid_propensity_score;target;delivery_date
9337;0.21516910175391;tg;2013-05-23
13506;0.213598648678789;tg;2013-05-23
7865;0.21212802508468;tg;2013-05-23
12962;0.207615218346969;cg;2013-05-23
14090;0.206662587131497;tg;2013-05-23
7578;0.200087957572829;tg;2013-05-23
8722;0.195670991717501;cg;2013-05-23
6630;0.193480611098155;tg;2013-05-23
13830;0.190700594485472;tg;2013-05-23
7721;0.186278078655522;tg;2013-05-23
12283;0.184962318397372;tg;2013-05-23
8188;0.183435012371176;tg;2013-05-23
5129;0.182194721410595;tg;2013-05-23
5955;0.180697897202525;tg;2013-05-23
13996;0.176752105961878;tg;2013-05-23
5783;0.175892862205847;tg;2013-05-23
9533;0.160782310905891;cg;2013-05-23
2324;0.159769738270809;tg;2013-05-23
733;0.158953859427973;cg;2013-05-23
5502;0.156082220946716;tg;2013-05-23
3538;0.154262875533925;tg;2013-05-23
3805;0.153807609055119;tg;2013-05-23
14950;0.152734266175468;tg;2013-05-23
3313;0.150884896232225;tg;2013-05-23
11192;0.148118417184234;tg;2013-05-23
9351;0.145690164986098;tg;2013-05-23
12166;0.142668996101266;tg;2013-05-23
4553;0.135433307011563;tg;2013-05-23
12589;0.134314111577722;tg;2013-05-23
4607;0.127329428522474;tg;2013-05-23
8166;0.127250653826648;tg;2013-05-23
2712;0.123478509900266;tg;2013-05-23
11435;0.119820719315944;tg;2013-05-23
11286;0.11745355184653;tg;2013-05-23
13349;0.11626218161599;tg;2013-05-23
10894;0.116058306804221;cg;2013-05-23
4319;0.115823396138887;tg;2013-05-23
10861;0.112232696569604;tg;2013-05-23
948;0.110646480502761;tg;2013-05-23
2578;0.110498156662397;cg;2013-05-23
5357;0.109867088321019;tg;2013-05-23
8259;0.105035063087222;tg;2013-05-23
7874;0.105015157625032;tg;2013-05-23
10710;0.10459625764325;tg;2013-05-23
11365;0.104581027232229;tg;2013-05-23
4333;0.104217849640678;tg;2013-05-23
7353;0.10197840992363;tg;2013-05-23
8975;0.101678884094765;tg;2013-05-23
8412;0.100469684651633;tg;2013-05-23
9213;0.100318500427398;tg;2013-05-23
5879;0.0999510643508031;tg;2013-05-23
8460;0.0984394861711761;tg;2013-05-23
2139;0.0981334517834533;tg;2013-05-23
14710;0.0976379493315416;tg;2013-05-23
8744;0.0969756674651948;tg;2013-05-23
4184;0.0961817486126735;tg;2013-05-23
7486;0.0956818892564732;tg;2013-05-23
2014;0.0954102253947519;cg;2013-05-23
7381;0.0950679713520653;tg;2013-05-23
2904;0.0934939304656357;tg;2013-05-23
4564;0.0921299915832019;tg;2013-05-23
8614;0.0911971898895717;tg;2013-05-23
12669;0.0910256961436119;cg;2013-05-23
936;0.0901831730857173;tg;2013-05-23
5679;0.0896656040955787;tg;2013-05-23
12602;0.0895524668479112;tg;2013-05-23
13240;0.0895273860639472;tg;2013-05-23
6838;0.0892386741454851;tg;2013-05-23
1968;0.0888515691089102;tg;2013-05-23
288;0.0883930212694154;tg;2013-05-23
9926;0.0882315408374788;tg;2013-05-23
10143;0.0880027304952323;tg;2013-05-23
2789;0.08780016811704;tg;2013-05-23
2034;0.087656569880286;tg;2013-05-23
8552;0.0875772973869398;tg;2013-05-23
6885;0.0875156799691035;tg;2013-05-23
4649;0.0870346301716979;tg;2013-05-23
